0:0:0:0:0:0:0:1 - - [21/May/2020:15:53:25 +0900] "GET /ch07/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:15:53:25 +0900] "GET /ch07/images/shop.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:15:53:25 +0900] "GET /ch07/index.html HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [21/May/2020:15:53:31 +0900] "GET /ch07/home.html HTTP/1.1" 200 1938
0:0:0:0:0:0:0:1 - - [21/May/2020:15:53:31 +0900] "GET /ch07/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:15:53:31 +0900] "GET /ch07/images/shop.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:15:53:34 +0900] "GET /ch07/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:15:53:34 +0900] "GET /ch07/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:15:53:34 +0900] "GET /ch07/images/shop.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:15:53:39 +0900] "GET /ch07/home.html HTTP/1.1" 200 1936
0:0:0:0:0:0:0:1 - - [21/May/2020:15:53:40 +0900] "GET /ch07/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:15:53:41 +0900] "GET /ch07/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:15:53:41 +0900] "GET /ch07/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:15:53:42 +0900] "GET /ch07/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:15:53:44 +0900] "GET /ch07/clothing.html HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [21/May/2020:15:53:45 +0900] "GET /ch07/music.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:15:53:45 +0900] "GET /ch07/medias/old_pop.mp3 HTTP/1.1" 206 4286222
0:0:0:0:0:0:0:1 - - [21/May/2020:15:53:45 +0900] "GET /ch07/movie.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:15:53:45 +0900] "GET /ch07/medias/movie.mp4 HTTP/1.1" 206 4372373
0:0:0:0:0:0:0:1 - - [21/May/2020:15:53:45 +0900] "GET /ch07/medias/movie.mp4 HTTP/1.1" 206 46997
0:0:0:0:0:0:0:1 - - [21/May/2020:15:53:45 +0900] "GET /ch07/medias/movie.mp4 HTTP/1.1" 206 3225493
0:0:0:0:0:0:0:1 - - [21/May/2020:15:53:48 +0900] "GET /ch07/shopcart.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:15:53:50 +0900] "GET /ch07/register1.html HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [21/May/2020:15:53:53 +0900] "GET /ch07/register1.html HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [21/May/2020:15:57:51 +0900] "GET /ch07/home.html HTTP/1.1" 200 1948
0:0:0:0:0:0:0:1 - - [21/May/2020:15:57:51 +0900] "GET /ch07/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:15:57:51 +0900] "GET /ch07/medias/shop.png HTTP/1.1" 200 19622
0:0:0:0:0:0:0:1 - - [21/May/2020:15:57:54 +0900] "GET /ch07/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:15:57:54 +0900] "GET /ch07/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:15:57:54 +0900] "GET /ch07/medias/shop.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:16:01:51 +0900] "GET /ch07/home.html HTTP/1.1" 200 1948
0:0:0:0:0:0:0:1 - - [21/May/2020:16:01:51 +0900] "GET /ch07/css/mystyle.css HTTP/1.1" 200 2519
0:0:0:0:0:0:0:1 - - [21/May/2020:16:01:51 +0900] "GET /ch07/medias/shop.png HTTP/1.1" 200 19622
0:0:0:0:0:0:0:1 - - [21/May/2020:16:01:51 +0900] "GET /ch07/computer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:16:04:16 +0900] "GET /ch07/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:16:04:16 +0900] "GET /ch07/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:16:05:01 +0900] "GET /ch07/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:16:05:09 +0900] "GET /ch07/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:16:05:51 +0900] "GET /ch07/clothing.html HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [21/May/2020:16:07:19 +0900] "GET /ch07/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:16:07:19 +0900] "GET /ch07/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:16:07:39 +0900] "GET /ch07/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:16:08:55 +0900] "GET /ch07/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:16:08:55 +0900] "GET /ch07/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:16:13:54 +0900] "GET /ch07/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:16:13:54 +0900] "GET /ch07/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:16:13:54 +0900] "GET /ch07/computer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:16:13:56 +0900] "GET /ch07/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:16:14:01 +0900] "GET /ch07/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:16:14:47 +0900] "GET /ch07/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:16:14:48 +0900] "GET /ch07/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:16:14:48 +0900] "GET /ch07/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:16:15:07 +0900] "GET /ch07/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:16:15:08 +0900] "GET /ch07/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:16:27:02 +0900] "GET /ch07/home.html HTTP/1.1" 200 1948
0:0:0:0:0:0:0:1 - - [21/May/2020:16:27:02 +0900] "GET /ch07/computer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:16:27:02 +0900] "GET /ch07/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:16:27:02 +0900] "GET /ch07/medias/shop.png HTTP/1.1" 304 -
